,MSIScore,Ploidy,LoHFraction,WGD,CIN,Aneuploidy
PR-4VyVNa,2.36,2.28270273372808,0.0887815542756917,0.0,0.152728044343144,5.0
PR-XuaRbz,1.67,4.02267144744237,0.0871601337338562,1.0,0.688950156347315,25.0
PR-M8qILE,2.38,4.69936747555049,0.393073208351456,1.0,0.7765876955001,29.0
PR-fj0xC7,2.78,,,,,
PR-0qqA8m,1.46,3.05577809564965,0.302224414720914,1.0,0.609100174764176,21.0
PR-iTqaF5,2.28,3.7020046155404,0.0027490239805529,1.0,0.575277806921799,21.0
PR-2NsliB,3.1,,,,,
PR-LpY0OU,0.83,,,,,
PR-ZhEuUF,88.71,3.92293150173236,0.0383322711830373,1.0,0.529147383980772,24.0
PR-mGujHd,2.46,3.25562268603608,0.314437651047337,1.0,0.58205474451528,15.0
PR-JEv1oA,3.2,2.10483492083166,0.0147636158250605,0.0,0.0188783901625431,0.0
PR-9PK8tK,1.12,,,,,
PR-cO6ZzX,0.95,3.50597883781517,0.374461154800242,1.0,0.696231609060608,29.0
PR-lX5iXU,2.99,,,,,
PR-1e83fN,2.26,,,,,
PR-miPDjx,1.63,,,,,
PR-Wa2xOE,2.57,3.97210179352784,0.355549634966498,1.0,0.782231138763074,30.0
PR-3fpunT,1.47,2.04941079313101,0.0823902535861586,0.0,0.126737771783096,2.0
PR-BSfH86,2.66,1.9499166787914,0.293003396333374,0.0,0.417865197275658,10.0
PR-7CTAVs,2.06,2.09643861491348,0.0221703108394715,0.0,0.026690450700207,0.0
PR-Yx8AAk,0.69,3.75756554436214,0.233483166809459,1.0,0.655127174503411,26.0
PR-kwhC2j,1.63,,,,,
PR-11UHTI,1.95,4.16205203712434,0.284000351665938,1.0,0.80569872739343,30.0
PR-r5ZcIl,1.67,4.12763302104271,0.185149318051587,1.0,0.658467386771056,35.0
PR-xg6q2c,3.93,4.19549618653524,0.0232942510412111,1.0,0.214167995623991,10.0
PR-yPBjRa,1.71,3.43193291851279,0.277433168764038,1.0,0.596231574198219,18.0
PR-24B4W0,2.21,3.36671447606012,0.235245992008002,1.0,0.576697896784631,23.0
PR-98Ohij,2.81,3.30976762148819,0.247362297218268,1.0,0.585653077038787,30.0
PR-xcsbEI,1.43,,,,,
PR-ko8bDr,2.18,3.48046585529523,0.399005798905235,1.0,0.633241565665585,13.0
PR-LWnUTV,0.73,,,,,
PR-yY5sTt,4.0,,,,,
PR-9K1Gzv,2.35,3.68878116293286,0.0438100502920015,1.0,0.544551567782403,23.0
PR-FCs4QQ,1.14,2.7560730014913,0.397537905819279,1.0,0.525584599242462,17.0
PR-0H05VY,2.36,2.02662085099226,0.0028900325605014,0.0,0.0309510232144463,1.0
PR-Y2Q9WR,2.0,2.6957748224918,0.0909567741802513,0.0,0.49305777225199,22.0
PR-97KrpJ,1.3,3.31412508314543,0.0458478309784334,1.0,0.434574485494368,19.0
PR-G9uFht,2.36,2.72790889460746,0.348135196566199,1.0,0.619049753006731,23.0
PR-EEtw9B,2.53,3.35378903467104,0.583988930750704,1.0,0.722934837503854,20.0
PR-g2OgAz,1.29,,,,,
PR-G46D6E,2.81,3.25816741713257,0.127062867424607,1.0,0.463721483113041,18.0
PR-9B3rkC,2.75,,,,,
PR-6SYPcz,1.74,4.02369155192918,0.0788613312424775,1.0,0.460828990901016,38.0
PR-K7DgFj,0.59,,,,,
PR-VPHL4s,2.0,2.01583320790759,0.112776763251901,0.0,0.20848528516281,8.0
PR-DACp7A,1.16,3.11582817948935,0.332374778794749,1.0,0.710577070622066,21.0
PR-MHJBhN,2.18,3.98781541930844,0.288503972396045,1.0,0.771764689496921,23.0
PR-88HQm4,1.42,,,,,
PR-iK1nqp,2.86,2.87430888230676,0.433911672883455,1.0,0.715653048115695,25.0
PR-4U6ZhH,2.75,3.31915623150296,0.331694712216626,1.0,0.666578447237592,25.0
PR-cU6icv,0.84,2.94981440244904,0.231855032648796,1.0,0.678522350462189,23.0
PR-1DMQEW,2.58,4.08449089960892,0.29702144131115,1.0,0.768532136403799,26.0
PR-5bw8Sw,2.29,2.1064819243758,0.0223639652248165,0.0,0.0279740219543262,0.0
PR-tghtMl,1.95,4.17234132479023,0.393247254999809,1.0,0.668651398142552,16.0
PR-YtERYF,2.17,,,,,
PR-WqTF07,84.58,,,,,
PR-Di9pI4,1.5,,,,,
PR-Cc6WwT,1.88,2.04751770586786,0.0056671625033116,0.0,0.0118031536733753,0.0
PR-pBrljT,3.36,2.99825088106672,0.404324032518246,1.0,0.689745995720645,22.0
PR-apl6oj,3.01,3.68901389848149,0.254750628922946,1.0,0.696130968139573,28.0
PR-Gtgm4G,4.02,2.16571745583424,0.0733774295806316,0.0,0.21159633775923,8.0
