DepMap_ID,p53,RAD51,DepMap_ID_norm,PR_ID_norm,WGD
ACH-000801,1.4608930774467226,4.706530552538117,ACH-000801,PR-SMFXZR,oui
ACH-000802,-0.0180099911925154,4.422233000683048,ACH-000802,PR-11LRS9,oui
ACH-000804,0.4362569787557597,5.314696525656286,ACH-000804,PR-LYAJXC,non
ACH-000804,0.4362569787557597,5.314696525656286,ACH-000804,PR-EBCA0P,oui
ACH-000804,0.4362569787557597,5.314696525656286,ACH-000804,PR-YR8PJQ,oui
ACH-000805,1.4996787276499297,3.20006486151431,ACH-000805,PR-4LOGQX,non
ACH-000805,1.4996787276499297,3.20006486151431,ACH-000805,PR-STYA1S,oui
ACH-000807,0.1207863597121434,5.427941332509482,ACH-000807,PR-JHR7FA,oui
ACH-000809,0.0918594114766818,4.987775616142913,ACH-000809,PR-L3QLDQ,oui
ACH-000809,0.0918594114766818,4.987775616142913,ACH-000809,PR-OC1TWJ,oui
ACH-000810,0.1955172934681976,4.266786540694901,ACH-000810,PR-VB25KN,oui
ACH-000810,0.1955172934681976,4.266786540694901,ACH-000810,PR-TNHBP6,oui
ACH-000814,1.7859225022145195,3.73768676140986,ACH-000814,PR-NGWPX6,non
ACH-000814,1.7859225022145195,3.73768676140986,ACH-000814,PR-X3DWKC,non
ACH-000817,0.0835749704542857,4.87528859822269,ACH-000817,PR-I77VP2,oui
ACH-000817,0.0835749704542857,4.87528859822269,ACH-000817,PR-FOM7XN,oui
ACH-000819,0.1434612931563887,4.327687364176047,ACH-000819,PR-1KE6K3,oui
ACH-000819,0.1434612931563887,4.327687364176047,ACH-000819,PR-MEJ6JR,oui
ACH-000820,0.3731185229936093,4.084064264788474,ACH-000820,PR-QIV3DB,oui
ACH-000821,-0.0099371250943938,4.968551603363945,ACH-000821,PR-H5CCG3,oui
ACH-000821,-0.0099371250943938,4.968551603363945,ACH-000821,PR-PEECJR,oui
ACH-000822,0.0294421845089762,3.4462562298895643,ACH-000822,PR-JIAGDM,non
ACH-000823,0.2384658658333555,4.289834465177509,ACH-000823,PR-W2JVPL,oui
ACH-000823,0.2384658658333555,4.289834465177509,ACH-000823,PR-RU1ESX,oui
ACH-000824,0.1389900164867024,4.399171093819823,ACH-000824,PR-8KT9DJ,oui
ACH-000826,0.2068329440882974,5.288727679514566,ACH-000826,PR-MS9VNJ,oui
ACH-000827,0.7401404890866536,4.707082991771706,ACH-000827,PR-MO0P4C,non
ACH-000827,0.7401404890866536,4.707082991771706,ACH-000827,PR-AUF1NQ,oui
ACH-000827,0.7401404890866536,4.707082991771706,ACH-000827,PR-XMHMTV,non
ACH-000831,0.2234491452501762,4.933100474931368,ACH-000831,PR-RZMILD,oui
ACH-000831,0.2234491452501762,4.933100474931368,ACH-000831,PR-AVKITL,oui
ACH-000832,-0.0124692831695366,4.329841176530628,ACH-000832,PR-4WLHMA,non
ACH-000833,0.063040731008411,5.219555769166913,ACH-000833,PR-HNL4XR,oui
ACH-000834,0.305187814369832,3.4776773275653072,ACH-000834,PR-YX1US6,oui
ACH-000835,-0.0986916063157016,4.865423978313134,ACH-000835,PR-RWRC4G,oui
ACH-000836,0.0336281670060856,4.604071323668861,ACH-000836,PR-SI1TK5,oui
ACH-000837,-0.0175053185167983,5.1034976397033365,ACH-000837,PR-KJLRRH,oui
ACH-000837,-0.0175053185167983,5.1034976397033365,ACH-000837,PR-191FBV,oui
ACH-000837,-0.0175053185167983,5.1034976397033365,ACH-000837,PR-C12HQA,oui
ACH-000838,0.6752476884255483,5.073820233291672,ACH-000838,PR-T0QU0W,oui
ACH-000838,0.6752476884255483,5.073820233291672,ACH-000838,PR-HRA6LV,oui
ACH-000839,-0.0451239971178839,4.192194165283345,ACH-000839,PR-RIFUN5,oui
ACH-000839,-0.0451239971178839,4.192194165283345,ACH-000839,PR-C659KW,oui
ACH-000840,0.130812214322597,4.480265122054463,ACH-000840,PR-EJXKNU,oui
ACH-000840,0.130812214322597,4.480265122054463,ACH-000840,PR-6134DO,oui
ACH-000840,0.130812214322597,4.480265122054463,ACH-000840,PR-QMMET5,oui
ACH-000841,0.1388885922400698,4.387500406480984,ACH-000841,PR-CMCC4I,oui
ACH-000841,0.1388885922400698,4.387500406480984,ACH-000841,PR-JXEXVF,oui
ACH-000841,0.1388885922400698,4.387500406480984,ACH-000841,PR-HZG4QI,oui
ACH-000843,0.1161125349655165,5.298658315564516,ACH-000843,PR-GMX4VM,oui
ACH-000843,0.1161125349655165,5.298658315564516,ACH-000843,PR-ZCCTWC,oui
ACH-000845,0.0616009263750606,4.2645364309990255,ACH-000845,PR-PVZVZB,oui
ACH-000845,0.0616009263750606,4.2645364309990255,ACH-000845,PR-QK7VCY,oui
ACH-000846,0.1251354487965363,4.655924213083815,ACH-000846,PR-HYM4OK,oui
ACH-000847,0.1199089469028965,4.222650022451478,ACH-000847,PR-0SNESH,oui
ACH-000848,0.2271194501734641,4.750606504835592,ACH-000848,PR-QMEELM,oui
ACH-000848,0.2271194501734641,4.750606504835592,ACH-000848,PR-CBZB19,oui
ACH-000849,0.0385881107418641,4.321206566969903,ACH-000849,PR-KQZAC5,oui
ACH-000849,0.0385881107418641,4.321206566969903,ACH-000849,PR-P32XUQ,oui
ACH-000853,0.1632156665918812,5.292045492492862,ACH-000853,PR-CE7PEK,oui
ACH-000853,0.1632156665918812,5.292045492492862,ACH-000853,PR-XPGI93,oui
ACH-000855,0.0526533378771481,3.8379432418910273,ACH-000855,PR-OYO0DM,oui
ACH-000856,0.2924449798861508,5.016139702655253,ACH-000856,PR-QVS2Q6,non
ACH-000858,0.0564030168995153,3.62760683812965,ACH-000858,PR-WOLNKR,oui
ACH-000858,0.0564030168995153,3.62760683812965,ACH-000858,PR-28WSNQ,oui
ACH-000859,0.155660219463304,5.603774686463973,ACH-000859,PR-WYYRYW,oui
ACH-000860,0.5021651738210221,5.036942844798256,ACH-000860,PR-GSDWYR,oui
ACH-000861,-0.1606865776711846,4.267535798068735,ACH-000861,PR-DQFNOV,oui
ACH-000862,0.0244404060389834,3.877744249949002,ACH-000862,PR-9N8NR3,oui
ACH-000865,0.2451391927583164,3.6758159311722696,ACH-000865,PR-XF75NJ,oui
ACH-000865,0.2451391927583164,3.6758159311722696,ACH-000865,PR-CBWTP5,oui
ACH-000866,-0.0741593023472183,4.587364990936461,ACH-000866,PR-CLTC1A,non
ACH-000866,-0.0741593023472183,4.587364990936461,ACH-000866,PR-AOYWP8,non
ACH-000867,0.1345387343737368,4.310340120612151,ACH-000867,PR-D4T3EF,oui
ACH-000867,0.1345387343737368,4.310340120612151,ACH-000867,PR-2KNTFF,oui
ACH-000869,0.0040175389086473,5.081936081719432,ACH-000869,PR-9WZBCD,oui
ACH-000869,0.0040175389086473,5.081936081719432,ACH-000869,PR-CYXAFL,oui
ACH-000872,-0.0423646701274563,4.12267271882414,ACH-000872,PR-I3WDVK,oui
ACH-000872,-0.0423646701274563,4.12267271882414,ACH-000872,PR-TOPQ2G,oui
ACH-000873,-0.0933845993776509,3.38404980679516,ACH-000873,PR-SDMRS8,oui
ACH-000876,0.0986544945693184,4.211012193485511,ACH-000876,PR-VJSKD1,oui
ACH-000876,0.0986544945693184,4.211012193485511,ACH-000876,PR-HFD5TC,oui
ACH-000878,-0.1822402138839762,5.207892851641333,ACH-000878,PR-NCVZDH,non
ACH-000878,-0.1822402138839762,5.207892851641333,ACH-000878,PR-DEEPBR,non
ACH-000880,1.030339948795779,4.677508242264722,ACH-000880,PR-84SHEL,non
ACH-000880,1.030339948795779,4.677508242264722,ACH-000880,PR-CIXODJ,non
ACH-000881,0.7839294454473356,4.659353759170051,ACH-000881,PR-O1ZPLN,non
ACH-000882,0.3190639499886323,4.228049047884462,ACH-000882,PR-9PYNVM,oui
ACH-000882,0.3190639499886323,4.228049047884462,ACH-000882,PR-TSIOQA,oui
ACH-000884,0.1483036034656684,3.904002316283692,ACH-000884,PR-70D3RE,oui
ACH-000885,1.1932565548651604,4.888986721186558,ACH-000885,PR-JTAAQ5,non
ACH-000886,-0.0223892957137182,3.889473542531109,ACH-000886,PR-ZRELIU,oui
ACH-000887,0.1067700657722145,5.037821465434967,ACH-000887,PR-E1SXJN,oui
ACH-000888,-0.1062188559864674,3.651912744645783,ACH-000888,PR-RQIMZA,oui
ACH-000888,-0.1062188559864674,3.651912744645783,ACH-000888,PR-YXLKWL,oui
ACH-000889,0.1332643858671024,4.869377924031328,ACH-000889,PR-TWQFTJ,oui
ACH-000890,-0.4046096235865042,4.358958825832329,ACH-000890,PR-MQLCPH,oui
ACH-000890,-0.4046096235865042,4.358958825832329,ACH-000890,PR-YXKQFD,oui
ACH-000890,-0.4046096235865042,4.358958825832329,ACH-000890,PR-2WHKNJ,oui
ACH-000896,0.0661928668470269,4.169925001442312,ACH-000896,PR-HCVEQP,oui
ACH-000898,1.000985733090848,3.948600847493356,ACH-000898,PR-2GUO1R,non
ACH-000898,1.000985733090848,3.948600847493356,ACH-000898,PR-LJ66JC,non
ACH-000899,1.543352483860252,4.4087118610294285,ACH-000899,PR-S7CMQD,non
ACH-000900,0.3225916902955313,4.353323291162897,ACH-000900,PR-11OFEY,oui
ACH-000903,0.1115162678980755,4.540399305630624,ACH-000903,PR-HXMKAZ,oui
ACH-000903,0.1115162678980755,4.540399305630624,ACH-000903,PR-3TYMYV,oui
ACH-000905,-0.1005749663432146,4.362469888750209,ACH-000905,PR-UWKGCA,oui
ACH-000905,-0.1005749663432146,4.362469888750209,ACH-000905,PR-HSMFHE,oui
ACH-000906,0.0995399806422142,3.595742339474399,ACH-000906,PR-K4G78U,oui
ACH-000907,1.0082231291349082,3.904002316283692,ACH-000907,PR-DBWLQN,oui
ACH-000907,1.0082231291349082,3.904002316283692,ACH-000907,PR-P0RP9C,oui
ACH-000910,-0.0216510164017639,5.900866807980749,ACH-000910,PR-PCWXLO,non
ACH-000911,0.0879867637463633,4.197708157955851,ACH-000911,PR-CK8DSI,oui
ACH-000911,0.0879867637463633,4.197708157955851,ACH-000911,PR-5WPODH,oui
ACH-000912,0.1796101882777794,5.267910280884825,ACH-000912,PR-HTLWWB,non
ACH-000912,0.1796101882777794,5.267910280884825,ACH-000912,PR-MAQSKN,non
ACH-000913,0.0765376854018312,4.763411574470007,ACH-000913,PR-VSBLZE,oui
ACH-000913,0.0765376854018312,4.763411574470007,ACH-000913,PR-WWIAK4,non
ACH-000914,0.0554783476709974,5.275752048828529,ACH-000914,PR-72VA7N,non
ACH-000914,0.0554783476709974,5.275752048828529,ACH-000914,PR-THY0IC,non
ACH-000915,0.3820264218290321,4.740387932468353,ACH-000915,PR-WIM2X2,oui
ACH-000915,0.3820264218290321,4.740387932468353,ACH-000915,PR-DTMCDR,oui
ACH-000916,-0.0229218667264934,3.872828759534885,ACH-000916,PR-WRTYNT,oui
ACH-000917,0.1692481152720665,5.00539998774259,ACH-000917,PR-ONXKLT,oui
ACH-000921,-0.0444483738457484,4.916476644437717,ACH-000921,PR-KRQGCX,oui
ACH-000921,-0.0444483738457484,4.916476644437717,ACH-000921,PR-ZQOUQC,non
ACH-000922,0.4858015290651662,5.504620392403552,ACH-000922,PR-DTN7SO,non
ACH-000924,0.1631149948280542,4.493134922305505,ACH-000924,PR-4BX4FN,oui
ACH-000924,0.1631149948280542,4.493134922305505,ACH-000924,PR-FA7S8L,oui
ACH-000924,0.1631149948280542,4.493134922305505,ACH-000924,PR-ORJVWK,oui
ACH-000926,0.0741629737415467,4.157852169141737,ACH-000926,PR-AT83RY,oui
ACH-000929,0.2674260803493992,4.69265037003553,ACH-000929,PR-4GUO7R,oui
ACH-000929,0.2674260803493992,4.69265037003553,ACH-000929,PR-XSZ4CI,oui
ACH-000932,0.6678000095295918,4.61882595258744,ACH-000932,PR-IEPKNE,non
ACH-000935,2.026387710181744,4.276496665640356,ACH-000935,PR-YHYSKV,oui
ACH-000937,-0.0403289605841078,5.732811872082943,ACH-000937,PR-I7FDCX,oui
ACH-000938,0.3515290494497623,5.942749070828886,ACH-000938,PR-6YBF3Z,non
ACH-000939,-0.1111879829191885,4.883620816285672,ACH-000939,PR-PH0YG6,non
ACH-000941,-0.1260531266153922,4.034743949324734,ACH-000941,PR-SMHH3N,oui
ACH-000943,0.2892822719828697,3.676944359106912,ACH-000943,PR-QSKZUI,non
